id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties,golsInter,golsAdversario
10271,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,593,VITÓRIA,S,1,,,1991-02-06,0,2025-08-12,Perin,Vitória,,2,1
10272,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,203,Atlético-PR,S,0,,,1991-02-24,0,2025-08-12,Perin,Vitória,,2,0
10273,1991_BR,Brasileirão 1991,Brasileirão,,,252,BR,BRAGANÇA,,3,RB Bragantino,M,1,,1,Internacional,X,1,,,1991-03-03,0,2025-08-12,Perin,Derrota,,1,1
10274,1991_BR,Brasileirão 1991,Brasileirão,,,214,BR,AFLITOS,,23,Sport Recife,M,1,,1,Internacional,X,0,,,1991-03-06,0,2025-08-12,Perin,Derrota,,0,1
10275,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,14,Corinthians,X,1,,,1991-03-08,0,2025-08-12,Perin,Empate,,1,1
10276,1991_BR,Brasileirão 1991,Brasileirão,,,264,BR,CANINDÉ,,301,PORTUGUESA DE DESPORTOS,S,1,,1,Internacional,X,0,,,1991-03-17,0,2025-08-12,Perin,Derrota,,0,1
10277,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,9,Fluminense,M,1,,,1991-03-23,0,2025-08-12,Perin,Vitória,,2,1
10278,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,16,Santos FC,X,1,,,1991-03-30,0,2025-08-12,Perin,Empate,,1,1
10279,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,211,BOTAFOGO DO RIO,S,0,,,1991-04-04,0,2025-08-12,Perin,Vitória,,2,0
10280,1991_BR,Brasileirão 1991,Brasileirão,,,,,,,18,Vasco da Gama,M,2,,1,Internacional,X,2,,,1991-04-07,0,2025-08-12,Perin,Derrota,,2,2
10281,1991_BR,Brasileirão 1991,Brasileirão,,,75,BR,Estádio Jornalista Mário Filho,,5,Flamengo,X,1,,1,Internacional,X,1,,,1991-04-13,0,2025-08-12,Perin,Derrota,,1,1
10282,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,202,ATLÉTICO MINEIRO,S,2,,,1991-04-21,0,2025-08-12,Perin,Empate,,2,2
10283,1991_BR,Brasileirão 1991,Brasileirão,,,,,,,17,Goiás EC,M,1,,1,Internacional,X,0,,,1991-04-28,0,2025-08-12,Perin,Derrota,,0,1
10284,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,26,Náutico,M,2,,,1991-05-01,0,2025-08-12,Perin,Derrota,,1,2
10285,1991_BR,Brasileirão 1991,Brasileirão,,,,,,,15,EC Bahia,M,1,,1,Internacional,X,1,,,1991-05-05,0,2025-08-12,Perin,Derrota,,1,1
10286,1991_BR,Brasileirão 1991,Brasileirão,,,464,BR,PARQUE ANTÁRTICA,,4,Palmeiras,X,0,,1,Internacional,X,0,,,1991-05-11,0,2025-08-12,Perin,Derrota,,0,0
10287,1991_BR,Brasileirão 1991,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,11,São Paulo,X,0,,,1991-05-18,0,2025-08-12,Perin,Vitória,,1,0
10288,AMISTOSO,Amistoso,Amistoso,,,501,BR,SÃO GABRIEL,,317,SÃO GABRIEL,S,0,,1,Internacional,X,2,,,1991-05-26,0,2025-08-12,Perin,Vitória,,2,0
10289,AMISTOSO,Amistoso,Amistoso,,,,,,,153,São Luiz,S,2,,1,Internacional,X,0,,,1991-05-30,0,2025-08-12,Perin,Derrota,,0,2
