id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties
60,2011_BR,Brasileirão 2011,Brasileirão,17,17,150,BR,Estádio Raimundo Sampaio,2636,20,América-MG,S,1,,11,São Paulo,X,1,,,2011-08-18,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
61,2011_BR,Brasileirão 2011,Brasileirão,19,19,150,BR,Estádio Raimundo Sampaio,1256,20,América-MG,S,1,,22,Atlético-GO,M,2,,,2011-08-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
62,2011_BR,Brasileirão 2011,Brasileirão,23,23,150,BR,Estádio Raimundo Sampaio,734,20,América-MG,S,2,,27,Avaí FC,M,2,,,2011-09-10,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
63,2011_BR,Brasileirão 2011,Brasileirão,25,25,150,BR,Estádio Raimundo Sampaio,18562,20,América-MG,S,1,,16,Santos FC,X,2,,,2011-09-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
64,2011_BR,Brasileirão 2011,Brasileirão,28,28,150,BR,Estádio Raimundo Sampaio,750,20,América-MG,S,0,,8,Atlético-MG,X,0,,,2011-10-08,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
65,2011_BR,Brasileirão 2011,Brasileirão,29,29,150,BR,Estádio Raimundo Sampaio,939,20,América-MG,S,4,,21,Ceará SC,M,1,,,2011-10-12,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
66,2011_BR,Brasileirão 2011,Brasileirão,35,35,150,BR,Estádio Raimundo Sampaio,1502,20,América-MG,S,2,,2,Botafogo,M,1,,,2011-11-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
67,2011_BR,Brasileirão 2011,Brasileirão,37,37,150,BR,Estádio Raimundo Sampaio,841,20,América-MG,S,2,,203,Atlético-PR,S,1,,,2011-11-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
68,2011_BR,Brasileirão 2011,Brasileirão,1,1,2,BR,Allianz Parque,13705,4,Palmeiras,X,1,,2,Botafogo,M,0,,,2011-05-22,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
69,2011_BR,Brasileirão 2011,Brasileirão,3,3,2,BR,Allianz Parque,10352,4,Palmeiras,X,1,,203,Atlético-PR,S,0,,,2011-06-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
