Adversario,Data,Estadio,Juiz,Renda,Treinador,Gols Pro,Gols Contra,Campeonato,Jogador 1,Gols,Posicao,Jogador 2,Gols,Posicao,Jogador 3,Gols,Posicao,Jogador 4,Gols,Posicao,Jogador 5,Gols,Posicao,Jogador 6,Gols,Posicao,Jogador 7,Gols,Posicao,Jogador 8,Gols,Posicao,Jogador 9,Gols,Posicao,Jogador 10,Gols,Posicao,Jogador 11,Gols,Posicao,Jogador 12,Gols,Posicao,Jogador 13,Gols,Posicao,Jogador 14,Gols,Posicao,Jogador 15,Gols,Posicao,Jogador 16,Gols,Posicao,Jogador 17,Gols,Posicao,Jogador 18,Gols,Posicao,Jogador 19,Gols,Posicao,,,,,,,,,
CAXIAS,12/03/1978,CENTENÁRIO CAXIAS DO SUL,LUIZ LOURUZ,,GAINETE,0,1,AMISTOSO,BAGATINI,1,G,JOÃO CARLOS,,Z,BELLIATO,,Z,GARDEL,,Z,DIONÍSIO,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,ROMÁRIO,,A,ROVANIR,,A,VASCONCELLOS,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMEIRAS,18/03/1978,BEIRA-RIO,URBANO KNORST,"CR$ 193.000,00",GAINETE,0,2,AMISTOSO,GASPERIN,2,G,JOÃO CARLOS,,Z,BELLIATO,,Z,GARDEL,,Z,JOAQUIM,,Z,CAÇAPAVA,,M,FALCÃO,,M,VASCONCELLOS,,M,VALDOMIRO,,A,BILL,,A,PERI,,A,JAIR,,M,FALCÃO,,M,TONHO,,M,POIANI,,A,,,,,,,,,,,,,,,,,,,,,
GRÊMIO MARINGÁ,26/03/1978,JAYME CANET JUNIOR,OSCAR SCÓLFARO,"CR$ 591.945,00",CLAUDIO DUARTE,1,0,BRASILEIRO,BAGATINI,0,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,1,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORADO,29/03/1978,COUTO PEREIRA,ORÊNCIO CAPUTO,"CR$ 457.140,00",CLAUDIO DUARTE,2,0,BRASILEIRO,BAGATINI,0,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,,M,FALCÃO,1,M,JAIR,1,M,VALDOMIRO,,A,BILL,,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOINVILLE,02/04/1978,BEIRA-RIO,ARNALDO CESAR COELHO,"CR$ 731.195,00",CLAUDIO DUARTE,3,1,BRASILEIRO,BAGATINI,1,G,LÚCIO-70,1,Z,GARDEL,,Z,BELLIATO,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,1,A,PERI,,A,ALCIONE,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPECOENSE,12/04/1978,BEIRA-RIO,PAULO DE SOUZA ARRUDA,"CR$ 406.145,00",CLAUDIO DUARTE,2,0,BRASILEIRO,BAGATINI,0,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,1,M,JAIR,,M,VALDOMIRO,,A,BILL,1,A,PERI,,A,TONHO,,M,ALCIONE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLÉTICO PARANAENSE,16/04/1978,BEIRA-RIO,ROMUALDO ARPI FILHO,"CR$ 580.900,00",CLAUDIO DUARTE,3,0,BRASILEIRO,BAGATINI,0,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,2,M,ALCIONE,,A,BILL,1,A,PERI,,A,TONHO,,M,ROBERTO-70-Z,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRASIL DE PELOTAS,19/04/1978,BENTO FREITAS,DULCIDIO V. BOSCHILIA,"CR$ 349.700,00",CLAUDIO DUARTE,2,0,BRASILEIRO,BAGATINI,0,G,LÚCIO-70,,Z,BELLIATO,,Z,ROBERTO-70-Z,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,ALCIONE,,A,BILL,1,A,ANCHIETA,1,A,TONHO,,M,JOÃO CARLOS,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,23/04/1978,BEIRA-RIO,JOSÉ ASSIS DE ARAGÃO,"CR$ 1.904.340,00 P-47.303",CLAUDIO DUARTE,2,3,BRASILEIRO,BAGATINI,3,G,LÚCIO-70,1,Z,BELLIATO,,Z,ROBERTO-70-Z,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,1,M,JAIR,,M,TONHO,,A,BILL,,A,ANCHIETA,,A,ALCIONE,,A,JOÃO CARLOS,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXIAS,30/04/1978,CENTENÁRIO CAXIAS DO SUL,,,CLAUDIO DUARTE,0,2,BRASILEIRO,GASPERIN,2,G,LÚCIO-70,,Z,BELLIATO,,Z,ROBERTO-70-Z,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,,M,TONHO,,M,JAIR,,M,POIANI,,A,BILL,,A,ANCHIETA,,A,ALCIONE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORITIBA,07/05/1978,COUTO PEREIRA,ROMUALDO ARPI FILHO,"CR$ 559.250,00",CLAUDIO DUARTE,1,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,TONHO,,A,BILL,1,A,PERI,,A,POIANI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIGUEIRENSE,10/05/1978,ORLANDO SCARPELLI,ALMIR LAGUNA,"CR$ 185.340,00",CLAUDIO DUARTE,1,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,TONHO,1,M,JAIR,,M,POIANI,,A,BILL,,A,PERI,,A,ANCHIETA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDRINA,14/05/1978,BEIRA-RIO,ADMUNDO ABSSANRA,"CR$ 470.600,00",CLAUDIO DUARTE,5,2,BRASILEIRO,GASPERIN,2,G,LÚCIO-70,1,Z,SALOMON,1,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,TONHO,,M,JAIR,2,M,VALDOMIRO,,A,BILL,1,A,PERI,,A,ANCHIETA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO HAMBURGO,24/05/1978,SANTA ROSA,AIMORÉ SILVA,,CLAUDIO DUARTE,0,0,AMISTOSO,BAGATINI,0,G,JOÃO CARLOS,,Z,ROBERTO-70-Z,,Z,GARDEL,,Z,WANDERLEI,,Z,BERETTA,,M,TONHO,,M,ANCHIETA,,M,ALCIONE,,A,POIANI,,A,ROVANIR,,A,ANDRÉ LUIZ,,Z,JORGINHO,,M,MICA,,A,FAGUNDES,,A,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO,28/05/1978,MINEIRÃO,EMIDIO MARQUES MESQUITA,"CR$ 836.960,00",CLAUDIO DUARTE,1,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,TONHO,,M,FALCÃO,1,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,,A,ROBERTO-70-Z,,M,ALCIONE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITÓRIA,31/05/1978,BEIRA-RIO,JOSÉ ALDO PEREIRA,,CLAUDIO DUARTE,2,0,BRASILEIRO,GASPERIN,0,G,LÚCIO-70,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,1,A,BILL,1,A,ANCHIETA,,A,POIANI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLÉTICO MINEIRO,04/06/1978,BEIRA-RIO,MARCIO CAMPOS SALES,"CR$ 533.000,00 P-16.481",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,1,A,BILL,1,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOYTACAZ,07/06/1978,BEIRA-RIO,JOSÉ ASSIS DE ARAGÃO,"CR$ 68.640,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,SALOMON,,Z,GARDEL,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,TONHO,1,M,JAIR,,M,VALDOMIRO,1,A,BILL,,A,PERI,,A,ROBERTO-70-Z,,M,JOÃO CARLOS,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
PONTE PRETA,10/06/1978,BRINCO DE OURO,VALQUIR PIMENTEL,"CR$ 154.370,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,2,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIXTO,13/06/1978,JOSÉ FRAGELLI,LUIZ CARLOS FÉLIX,"CR$ 315.275,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,1,M,VALDOMIRO,,A,BILL,1,A,PERI,,A,CHICO ESPINA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMEIRAS,17/06/1978,BEIRA-RIO,JOSÉ MARÇAL FILHO,"CR$ 457.280,00 P-14.680",CLAUDIO DUARTE,0,0,BRASILEIRO,GASPERIN,0,G,LÚCIO-70,,Z,BELLIATO,,Z,GARDEL,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMÉRICA DE RIO PRETO,24/06/1978,BEIRA-RIO,WILSON CARLOS DOS SANTOS,"CR$ 301.404,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,LÚCIO-70,,Z,SALOMON,1,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,1,A,ALCIONE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI DE CAMPINAS,02/07/1978,BEIRA-RIO,ARNALDO CESAR COELHO,"CR$ 308.440,00",CLAUDIO DUARTE,0,3,BRASILEIRO,GASPERIN,3,G,LÚCIO-70,,Z,GARDEL,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,BATISTA,,M,VALDOMIRO,,A,BILL,,A,PERI,,A,JAIR,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDRINA,06/07/1978,ESTÁDIO DO CAFÉ,MANOEL AMARO DE LIMA,"CR$ 514.230,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,BATISTA,,Z,LARRY-70,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,1,M,VALDOMIRO,,A,BILL,,A,CHICO ESPINA,1,A,ROBERTO-70-Z,,M,JOÃO CARLOS,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOYTACAZ,09/07/1978,ARI OLIVEIRA,JOSÉ FAVILLE NETO,"CR$ 102.840,00 P-2.725",CLAUDIO DUARTE,3,0,BRASILEIRO,GASPERIN,0,G,LÚCIO-70,,Z,JOÃO CARLOS,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,1,M,JAIR,,M,VALDOMIRO,2,A,BILL,,A,CHICO ESPINA,,A,PERI,,A,ALCIONE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOIÁS,12/07/1978,SERRA DOURADA,SILVIO ACÁCIO DE OLIVEIRA,"CR$ 540.823,00",CLAUDIO DUARTE,1,0,BRASILEIRO,GASPERIN,0,G,BATISTA,,Z,JOÃO CARLOS,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,CHICO ESPINA,1,A,PERI,,A,LÚCIO-70,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTOS,16/07/1978,BEIRA-RIO,JOSÉ ROBERTO WRIGHT,"CR$ 678.430,00",CLAUDIO DUARTE,1,0,BRASILEIRO,GASPERIN,0,G,BERETTA,,Z,BELLIATO,,Z,JOÃO CARLOS,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,1,A,CHICO ESPINA,,A,TONHO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAFOGO DA PARAÍBA,19/07/1978,BEIRA-RIO,ROBERTO NUNES MORGADO,"CR$ 97.030,00",CLAUDIO DUARTE,3,0,BRASILEIRO,GASPERIN,0,G,JOÃO CARLOS,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,ANCHIETA,,M,JAIR,1,M,VALDOMIRO,2,A,BILL,,A,CHICO ESPINA,,A,PERI,,A,FALCÃO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTAFOGO DE RIBEIRÃO PRETO,23/07/1978,BEIRA-RIO,LUIZ CARLOS FÉLIX,"CR$ 282.400,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,BATISTA,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,2,A,BILL,,A,CHICO ESPINA,,A,JOÃO CARLOS,,Z,ALCIONE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ DE RECIFE,26/07/1978,BEIRA-RIO,OSCAR SCÓLFARO,"CR$ 1.129.970,00",CLAUDIO DUARTE,1,0,BRASILEIRO,GASPERIN,0,G,BATISTA,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,1,M,VALDOMIRO,,A,BILL,,A,CHICO ESPINA,,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ DE RECIFE,30/07/1978,ARRUDA,VALQUIR PIMENTEL,"CR$ 1.334.795,00",CLAUDIO DUARTE,2,1,BRASILEIRO,GASPERIN,1,G,BATISTA,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,2,A,CHICO ESPINA,,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMEIRAS,03/08/1978,MORUMBI,LUIZ CARLOS FÉLIX,,CLAUDIO DUARTE,0,2,BRASILEIRO,GASPERIN,2,G,BATISTA,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,,A,ANCHIETA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMEIRAS,06/08/1978,BEIRA-RIO,VALQUIR PIMENTEL,"CR$ 2.396.350,00 P - 57.611",CLAUDIO DUARTE,1,1,BRASILEIRO,GASPERIN,1,G,BATISTA,,Z,SALOMON,,Z,BELLIATO,,Z,WANDERLEI,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,CHICO ESPINA,1,A,LÚCIO-70,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI DE BAGÉ,09/08/1978,BEIRA-RIO,IRANDI PAIVA,,CLAUDIO DUARTE,3,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,PAULO MARCOS,,Z,ANDRÉ LUIZ,,Z,JOÃO CARLOS,,Z,BERETTA,,M,TONHO,,M,JAIR,,M,ALCIONE,1,A,BILL,,A,CHICO ESPINA,1,A,BAGATINI,,G,CLÉO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO HAMBURGO,12/08/1978,BEIRA-RIO,HÉLIO NEPOMUCENO,"CR$ 30.930,00",CLAUDIO DUARTE,5,0,GAÚCHO,GASPERIN,0,G,BERETTA,,Z,SALOMON,,Z,PAULO MARCOS,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,,M,TONHO,,M,CLÉO,,M,ALCIONE,1,A,BILL,2,A,CHICO ESPINA,2,A,ANDRÉ LUIZ,,Z,JAIR,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO PAULO DE RIO GRANDE,15/08/1978,ALDO DAPUZZO,AIRTON BERNARDONI,"CR$ 276.100,00",CLAUDIO DUARTE,6,3,GAÚCHO,GASPERIN,3,G,BERETTA,,Z,SALOMON,,Z,PAULO MARCOS,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,1,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,3,A,REINALDO,2,A,CHICO ESPINA,,A,ANDRÉ LUIZ,,Z,FAGUNDES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,20/08/1978,OLÍMPICO,CARLOS MARTINS,"CR$ 644.610,00",CLAUDIO DUARTE,1,2,GAÚCHO,GASPERIN,2,G,BERETTA,,Z,PAULO MARCOS,,Z,ANDRÉ LUIZ,,Z,JOÃO CARLOS,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,ANCHIETA,1,A,TONHO,,M,JORGE TABAJARA,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNACIONAL DE SANTA MARIA,22/08/1978,BEIRA-RIO,RUI CANEDO,"CR$ 72.867,00",CLAUDIO DUARTE,6,1,GAÚCHO,GASPERIN,1,G,BERETTA,,Z,JOÃO CARLOS,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,BATISTA,,M,JAIR,3,M,VALDOMIRO,1,A,BILL,1,A,ANCHIETA,1,A,MICA,,A,CLÉO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO PAULO DE RIO GRANDE,24/08/1978,BEIRA-RIO,ORION SATTER DE MELLO,"CR$ 81.950,00",CLAUDIO DUARTE,3,0,GAÚCHO,GASPERIN,0,G,JOÃO CARLOS,,Z,PAULO MARCOS,2,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,BATISTA,,M,JAIR,,M,VALDOMIRO,,A,BILL,1,A,ANCHIETA,,A,BAGATINI,,G,EDISON,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNACIONAL DE SANTA MARIA,27/08/1978,BAIXADA MELANCÓLICA,LUIZ GUARANHA,"CR$ 240.000,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,JOÃO CARLOS,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,CLÉO,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,1,A,TONHO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASCO DA GAMA,29/08/1978,MARACANÃ,,"CR$ 218.275,00 P-5.951",CLAUDIO DUARTE,0,3,AMISTOSO,GASPERIN,3,G,JOÃO CARLOS,,Z,PAULO MARCOS,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,TONHO,,M,JAIR,,M,MICA,,A,BILL,,A,PERI,,A,BAGATINI,,G,LÚCIO-70,,Z,CLÉO,,M,LUIZ FERNANDO,,A,ANCHIETA,,A,,,,,,,,,,,,,,,,,,
GUARANI DE BAGÉ,31/08/1978,ESTRELA D'ALVA,JOSÉ CARLOS CAVALHEIRO,,CLAUDIO DUARTE,1,1,GAÚCHO,BAGATINI,1,G,LÚCIO-70,,Z,PAULO MARCOS,,Z,ANDRÉ LUIZ,,Z,JOÃO CARLOS,,Z,TONINHO,,M,ANCHIETA,,M,JAIR,,M,VALDOMIRO,,A,BILL,,A,PERI,1,A,CLÉO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO HAMBURGO,03/09/1978,SANTA ROSA,ZENO ESCOBAR BARBOSA,"CR$ 190.700,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,JOÃO CARLOS,,Z,PAULO MARCOS,,Z,BELLIATO,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,,M,BATISTA,,M,VALDOMIRO,1,A,BILL,,A,JAIR,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,07/09/1978,BEIRA-RIO,LUIZ GUARANHA,"CR$ 370.493,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,SALOMON,,Z,PAULO MARCOS,,Z,JOÃO CARLOS,,Z,TONHO,,M,FALCÃO,,M,CLÉO,,M,MICA,,A,REINALDO,,A,ANCHIETA,1,A,SANTOS,,A,LARRY-70,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,10/09/1978,OLÍMPICO,JOSÉ LUIZ BARRETO,"CR$ 929.990,00 P-27.191",CLAUDIO DUARTE,2,2,GAÚCHO,GASPERIN,2,G,LÚCIO-70,,Z,BELLIATO,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,1,M,BATISTA,,M,VALDOMIRO,1,A,LUIZ FERNANDO,,A,JAIR,,A,SANTOS,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,13/09/1978,BEIRA-RIO,LUIZ TORRES,"CR$ 629.475,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,TONHO,1,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,,A,LUIZ FERNANDO,,A,ANCHIETA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTIVO,17/09/1978,BEIRA-RIO,JOSÉ CAVALHEIRO DE MORAIS,"CR$ 636.870,00",CLAUDIO DUARTE,2,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,,M,BATISTA,,M,VALDOMIRO,,A,LUIZ FERNANDO,,A,ANCHIETA,,A,ADILSON,1,A,SANTOS,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTIVO,20/09/1978,ESTÁDIO DA MONTANHA,CARLOS MARTINS,"CR$ 237.395,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,1,M,VALDOMIRO,,A,ADILSON,,A,TONHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 DE JULHO DE PASSO FUNDO,24/09/1978,BEIRA-RIO,LUIZ LOURUZ,"CR$ 200.000,00",CLAUDIO DUARTE,4,1,GAÚCHO,GASPERIN,1,G,LÚCIO-70,,Z,BELLIATO,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,1,M,VALDOMIRO,2,A,ADILSON,1,A,SANTOS,,A,LARRY-70,,Z,TONHO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELOTAS,27/09/1978,BEIRA-RIO,RUI CANEDO,"CR$ 196.864,00",CLAUDIO DUARTE,3,0,GAÚCHO,BAGATINI,0,G,LÚCIO-70,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,1,M,FALCÃO,,M,JAIR,,M,VALDOMIRO,1,A,ADILSON,,A,SANTOS,1,A,BERETTA,,Z,LUIZ FERNANDO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTO ÂNGELO,01/10/1978,ESTÁDIO MUNICIPAL DE SANTO ANGELO,SILVIO RODRIGUES,"CR$ 171.000,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,BERETTA,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,TONHO,,M,ADILSON,,M,JAIR,,M,MICA,,A,LUIZ FERNANDO,1,A,PERI,,A,BAGATINI,,G,ROGÉRIO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTIVO,04/10/1978,ESTÁDIO DA MONTANHA,ROQUE JOSÉ GALLAS,"CR$ 92.911,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,BERETTA,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,,M,JAIR,,M,CHICO ESPINA,1,A,ADILSON,,A,SANTOS,,A,PERI,,A,TONHO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXIAS,08/10/1978,BEIRA-RIO,JOSÉ CAVALHEIRO DE MORAIS,"CR$ 388.399,00",CLAUDIO DUARTE,1,0,GAÚCHO,GASPERIN,0,G,LÚCIO-70,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,BATISTA,,M,JAIR,1,M,CHICO ESPINA,,A,ADILSON,,A,LUIZ FERNANDO,,A,PERI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 DE JULHO DE PASSO FUNDO,11/10/1978,VERMELHÃO DA SERRA,JOSÉ CARLOS VON MENDGEM,,CLAUDIO DUARTE,2,1,GAÚCHO,GASPERIN,1,G,LÚCIO-70,,Z,LARRY-70,,Z,PAULO MARCOS,,Z,JORGE TABAJARA,,Z,BATISTA,,M,CLÉO,1,M,JAIR,,M,CHICO ESPINA,,A,ADILSON,1,A,PERI,,A,ANCHIETA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELOTAS,15/10/1978,BENTO FREITAS,ZENO ESCOBAR BARBOSA,"CR$ 252.000,00",CLAUDIO DUARTE,1,1,GAÚCHO,GASPERIN,1,G,LÚCIO-70,,Z,LARRY-70,,Z,ANDRÉ LUIZ,,Z,JORGE TABAJARA,,Z,CAÇAPAVA,,M,FALCÃO,1,M,BATISTA,,M,MICA,,A,ADILSON,,A,PERI,,A,JAIR,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
