#,Data,PenaltisMandante,Mandante,GolsMandante,GolsVisitante,Visitante,PenaltisVisitante,Competicao,Estadio,Cidade,Arbitro,ArbitroLocal,Gol1,Gol2,Gol3,Gol4,Gol5,Gol6,Gol7,Gol8,Gol9,Gol10,Gol11,Tecnico Gremio,Tecnico Inter
383,24/10/2010,,Grêmio,2,2,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Carlos Simon,SIM,André Lima,Alecsandro,Fábio Santos,D'Alessandro,,,,,,,,Renato Portaluppi,Celso Roth
384,30/01/2011,,Grêmio,2,1,Internacional,,Gauchão,Atílio Paiva,Rivera-URU,Márcio Chagas da Silva,SIM,Guto,Bruno Collaço,Lins,,,,,,,,,Roger Machado,Osmar Loss
385,01/05/2011,4,Internacional,1,1,Grêmio,2,Gauchão,Beira-Rio,Porto Alegre,Márcio Chagas da Silva,SIM,Leandro Damião,Júnior Viçosa,,,,,,,,,,Renato Portaluppi,Falcão
386,08/05/2011,,Internacional,2,3,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Jean Pierre de Lima,SIM,Andrezinho,Júnior Viçosa,Leandro,Leandro Damião,Júnior Viçosa,,,,,,,Renato Portaluppi,Falcão
387,15/05/2011,4,Grêmio,2,3,Internacional,5,Gauchão,Olímpico,Porto Alegre,Leandro Vuaden,SIM,Lúcio,Leandro Damião,Andrezinho,D'Alessandro,Borges,,,,,,,Renato Portaluppi,Falcão
388,28/08/2011,,Grêmio,2,1,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Marcelo de Lima Henrique,NÃO,Marquinhos,Índio,Douglas,,,,,,,,,Celso Roth,Dorival Júnior
389,04/12/2011,,Internacional,1,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,D'Alessandro,,,,,,,,,,,Celso Roth,Dorival Júnior
390,05/02/2012,,Grêmio,2,2,Internacional,,Gauchão,Olímpico,Porto Alegre,Leandro Vuaden,SIM,Dátolo,Marquinhos,Marcelo Moreno,Bolívar,,,,,,,,Caio Júnior,Dorival Júnior
391,22/02/2012,,Internacional,1,2,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Fabrício Neves Correa,SIM,Léo Gago,Leandro Damião,Kléber,,,,,,,,,Roger Machado,Dorival Júnior
392,29/04/2012,,Internacional,2,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,Dátolo,Werley,Fabrício,,,,,,,,,Wanderley Luxemburgo,Dorival Júnior
393,26/08/2012,,Internacional,0,1,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,Elano,,,,,,,,,,,Wanderley Luxemburgo,Fernandão
394,02/12/2012,,Grêmio,0,0,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Héber Roberto Lopes,NÃO,,,,,,,,,,,,Wanderley Luxemburgo,Osmar Loss
395,03/02/2013,,Internacional,2,1,Grêmio,,Gauchão,Colosso da Lagoa,Erechim,Fabrício Neves Correa,SIM,Diego Forlán,Leandro Damião,Fernando,,,,,,,,,Wanderley Luxemburgo,Dunga
396,24/02/2013,,Internacional,2,1,Grêmio,,Gauchão,Centenário,Caxias do Sul,Jean Pierre de Lima,SIM,Diego Forlán,Rodrigo Moledo,William José,,,,,,,,,Wanderley Luxemburgo,Dunga
397,04/08/2013,,Grêmio,1,1,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Fabrício Neves Correa,SIM,Barcos,Leandro Damião,,,,,,,,,,Renato Portaluppi,Dunga
398,20/10/2013,,Internacional,2,2,Grêmio,,Campeonato Brasileiro,Estádio,Centenário,Marcelo de Lima Henrique,NÃO,Williams,Jackson (contra),Vargas,D'Alessandro,,,,,,,,Renato Portaluppi,Clemer
399,09/02/2014,,Grêmio,1,1,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Fabrício Neves Correa,SIM,Fabrício,Barcos,,,,,,,,,,Enderson Moreira,Abel Braga
400,30/03/2014,,Grêmio,1,2,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Leandro Vuaden,SIM,Barcos,Rafael Moura,Rafael Moura,,,,,,,,,Enderson Moreira,Abel Braga
401,13/04/2014,,Internacional,4,1,Grêmio,,Gauchão,Estádio,Centenário,Márcio Chagas da Silva,SIM,D'Alessandro,Alex,Alan Patrick,Alex,Ernando (contra),,,,,,,Enderson Moreira,Abel Braga
402,10/08/2014,,Internacional,2,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Anderson Daronco,SIM,Aránguiz,Cláudio Winck,,,,,,,,,,Luiz Felipe Scolari,Abel Braga
403,09/11/2014,,Grêmio,4,1,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Luiz Flavio de Oliveira,NÃO,Luan,Ramiro,Rafael Moura,Alan Ruíz,Alan Ruíz,,,,,,,Luiz Felipe Scolari,Abel Braga
404,01/03/2015,,Internacional,0,0,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Carlos Simon,SIM,,,,,,,,,,,,Luiz Felipe Scolari,Diego Aguirre
405,26/04/2015,,Grêmio,0,0,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Anderson Daronco,SIM,,,,,,,,,,,,Luiz Felipe Scolari,Diego Aguirre
406,03/05/2015,,Internacional,2,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,Nilmar,Valdívia,Giuliano,,,,,,,,,Luiz Felipe Scolari,Diego Aguirre
407,09/08/2015,,Grêmio,5,0,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Dewson Freitas da Silva,NÃO,Giuliano,Luan,Luan,Fernandinho,Réver (contra),,,,,,,Roger Machado,Odair Helmann
408,22/11/2015,,Internacional,1,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Ricardo Marques Ribeiro,NÃO,Vitinho,,,,,,,,,,,Roger Machado,Argel Fucks
409,06/03/2016,,Grêmio,0,0,Internacional,,Gauchão/Primeira Liga,Arena do Grêmio,Porto Alegre,Anderson Daronco,SIM,,,,,,,,,,,,Roger Machado,Argel Fucks
410,03/07/2016,,Internacional,0,1,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Dewson Freitas da Silva,NÃO,Douglas,,,,,,,,,,,Roger Machado,Argel Fucks
411,23/10/2016,,Grêmio,0,0,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Francisco Carlos do Nascimento,NÃO,,,,,,,,,,,,Renato Portaluppi,Celso Roth
412,04/03/2017,,Grêmio,2,2,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Leandro Vuaden,SIM,Miller Bolaños,Roberson,Brenner,Fernandinho,,,,,,,,Renato Portaluppi,Antônio Carlos Zago
413,11/03/2018,,Internacional,1,2,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Jean Pierre de Lima,SIM,Luan,Luan,Rodrigo Dourado,,,,,,,,,Renato Portaluppi,Odair Helmann
414,18/03/2018,,Grêmio,3,0,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Anderson Daronco,SIM,Éverton,Jael,Arthur,,,,,,,,,Renato Portaluppi,Odair Helmann
415,21/03/2018,,Internacional,2,0,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,Nico López,D'Alessandro,,,,,,,,,,Renato Portaluppi,Odair Helmann
416,12/05/2018,,Grêmio,0,0,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Wílton Pereira Sampaio,NÃO,,,,,,,,,,,,Renato Portaluppi,Odair Helmann
417,09/09/2018,,Internacional,1,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Péricles Bassols,NÃO,Edenílson,,,,,,,,,,,Renato Portaluppi,Odair Helmann
418,17/03/2019,,Grêmio,1,0,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Anderson Daronco,SIM,Leonardo Gomes,,,,,,,,,,,Renato Portaluppi,Odair Helmann
419,14/04/2019,,Internacional,0,0,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,,,,,,,,,,,,Renato Portaluppi,Odair Helmann
420,17/04/2019,3,Grêmio,0,0,Internacional,2,Gauchão,Arena do Grêmio,Porto Alegre,Jean Pierre de Lima,SIM,,,,,,,,,,,,Renato Portaluppi,Odair Helmann
421,20/07/2019,,Internacional,1,1,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Anderson Daronco,SIM,Paulo Miranda (contra),Luan,,,,,,,,,,Renato Portaluppi,Odair Helmann
422,03/11/2019,,Grêmio,2,0,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Flávio Rodrigues de Souza,NÃO,Geromel,Rômulo,,,,,,,,,,Renato Portaluppi,Zé Ricardo
423,15/02/2020,,Internacional,0,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Jean Pierre de Lima,SIM,Diego Souza,,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
424,12/03/2020,,Grêmio,0,0,Internacional,,Copa Libertadores,Arena do Grêmio,Porto Alegre,Fernando Rapallini,NÃO,,,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
425,23/07/2020,,Internacional,0,1,Grêmio,,Gauchão,Centenário,Caxias do Sul,Daniel Bins Ely,SIM,Jean Pyerre,,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
426,05/08/2020,,Grêmio,2,0,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Leandro Vuaden,SIM,Maicon,Isaque,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
427,23/09/2020,,Internacional,0,1,Grêmio,,Copa Libertadores,Beira-Rio,Porto Alegre,Patricio Loustau,NÃO,Pepê,,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
428,03/10/2020,,Grêmio,1,1,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Raphael Claus,NÃO,Pepê,Thiago Galhardo,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
429,24/01/2021,,Internacional,2,1,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Luiz Flavio de Oliveira,NÃO,Jean Pyerre,Abel Hernández,Edenílson,,,,,,,,,Renato Portaluppi,Abel Braga
430,03/04/2021,,Grêmio,1,0,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Anderson Daronco,SIM,Léo Chú,,,,,,,,,,,Tiago Nunes,Miguel Ángel Ramirez
431,15/05/2021,,Internacional,1,2,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Anderson Daronco,SIM,Thiago Galhardo,Diego Souza,Ricardinho,,,,,,,,,Tiago Nunes,Miguel Ángel Ramirez
432,23/05/2021,,Grêmio,1,1,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Leandro Vuaden,SIM,Ferreira,Rodrigo Dourado,,,,,,,,,,Tiago Nunes,Miguel Ángel Ramirez
433,10/07/2021,,Grêmio,0,0,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Flávio Rodrigues de Souza,NÃO,,,,,,,,,,,,Luiz Felipe Scolari,Diego Aguirre
434,06/11/2021,,Internacional,1,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Marcelo de Lima Henrique,NÃO,Taison,,,,,,,,,,,Vágner Mancini,Diego Aguirre
435,09/03/2022,,Internacional,1,0,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,David,,,,,,,,,,,Roger Machado,Alexander Medina
